label,scale,type,coord,weight,mean,stdev,number
construction_worker2,continuous,active,-0.81,51,0.72,0.27,1
engineer2,continuous,active,0.79,51,2.12,0.75,12
construction_worker,continuous,supplementary,-0.69,51,10343.14,8239.82,1
tax_pct_gross_salary,continuous,supplementary,-0.68,51,20.04,9.54,2
gross_buying_power,continuous,supplementary,-0.67,51,56.53,31.89,3
textile_worker,continuous,supplementary,-0.63,51,9247.06,6429.78,4
work_hours_year,continuous,supplementary,0.46,51,1920.25,158.69,43
Axis1,continuous,supplementary,0.48,51,0.00,3.18,44
Axis2,continuous,supplementary,0.72,51,0.00,0.93,45
salary_inequality,continuous,supplementary,0.88,51,2.23,1.42,56
